name_id,game_name
601,Assassin's Creed III: Liberation
602,Assassin's Creed IV: Black Flag
603,Assassin's Creed Odyssey
604,Assassin's Creed Origins
605,Assassin's Creed Rogue Remastered
606,Assassin's Creed Syndicate
607,Assassin's Creed The Ezio Collection
608,Assassin's Creed: Altair's Chronicles
609,Assassin's Creed: Bloodlines
610,Assassin's Creed: Brotherhood
611,Assassin's Creed: Revelations
612,Assassin's Creed: Rogue
613,Assassin's Creed: Unity
614,Assassination Classroom: Grand Siege on Korosensei
615,Assault
616,Assault Rigs
617,Assault Suit Leynos
618,Assault: Retribution
619,Assetto Corsa
620,Asterix & Obelix: Kick Buttix
621,Asterix and Obelix XXL2
622,Asteroid Bounty Hunter
623,Asteroids
624,Asteroids Hyper 64
625,Astonishia Story
626,Astraea no Shiroki Eien: White Eternity
627,Astral Chain
628,Astro Bot Rescue Mission
629,Astro Boy
630,Astro Boy: Omega Factor
631,Astro Boy: The Video Game
632,Astroblast
633,Astrology DS
634,Asura's Wrath
635,Atari Anniversary Advance
636,Atari Anniversary Edition Redux
637,Atari Anthology
638,Atari Classics Evolved
639,Atari Flashback Classics: Volume 1
640,Atari Flashback Classics: Volume 2
641,Atari Flashback Classics: Volume 3
642,Atari's Greatest Hits: Volume 1
643,Atari's Greatest Hits: Volume 2
644,Atelier Annie: Alchemists of Sera Island
645,Atelier Ayesha Plus: The Alchemist of Dusk
646,Atelier Ayesha: The Alchemist of Dusk
647,Atelier Escha & Logy Plus: Alchemists of the Dusk Sky
648,Atelier Escha & Logy: Alchemists of the Dusk Sky
649,Atelier Firis: The Alchemist and the Mysterious Journey
650,Atelier Iris 2: The Azoth Of Destiny
651,Atelier Iris 3: Grand Phantasm (JP Sales)
652,Atelier Iris 3: Grand Phantasm (US Sales)
653,Atelier Iris: Eternal Mana
654,Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings
655,Atelier Meruru Plus: The Apprentice of Arland
656,Atelier Meruru: Alchemist of Arland 3
657,Atelier Rorona: Alchemist of Arland
658,Atelier Shallie Plus: Alchemists of the Dusk Sea
659,Atelier Shallie: Alchemists of the Dusk Sea
660,Atelier Sophie: The Alchemist of the Mysterious Book
661,Atelier Totori: The Adventurer of Arland
662,Atelier: The Alchemist of Arland 1-2-3 DX
663,Athens 2004
664,Atlantic Quest
665,Atlantis
666,Atom Zombie Smasher
667,Atomic Betty
668,Atsumare! Power Pro Kun no DS Koushien
